© 2000-2017 QIAGEN. All rights reserved.

Analysis Details for My Projects->Miyoung->11-15-2017_q0.05_EZH2 canonical_737 - 2017-11-22 10:55 AM
Workspace	My Projects
Project	Miyoung
Analysis	11-15-2017_q0.05_EZH2 canonical_737 - 2017-11-22 10:55 AM
Date	Wed Nov 22 07:55:53 PST 2017
Analysis ID	15713973

Analysis Settings
Cutoff before duplicate resolution	true
Reference set	Ingenuity Knowledge Base (Genes Only)
Relationship to include	Direct and Indirect
Includes Endogenous Chemicals	Yes
Optional Analyses	My Pathways My List
Filter Summary	
Consider only molecules and/or relationships where
(confidence = Experimentally Observed) AND
(mol. types = biologic drug OR chemical - endogenous mammalian OR chemical - endogenous non-mammalian OR chemical - kinase inhibitor OR chemical - other OR chemical - protease inhibitor OR chemical drug OR chemical reagent OR chemical toxicant OR complex OR cytokine OR disease OR enzyme OR function OR G-protein coupled receptor OR group OR growth factor OR ion channel OR kinase OR ligand-dependent nuclear receptor OR mature microRNA OR microRNA OR other OR peptidase OR phosphatase OR transcription regulator OR translation regulator OR transmembrane receptor OR transporter)

Canonical Pathways for My Projects->Miyoung->11-15-2017_q0.05_EZH2 canonical_737 - 2017-11-22 10:55 AM
Ingenuity Canonical Pathways	 -log(p-value)	zScore	Ratio	Molecules
Epithelial Adherens Junction Signaling	5.46E-01	NaN	4.11E-02	EGF,TUBA1A,PTPRM,SNAI2,MRAS,MAGI2	
Thrombin Signaling	5.5E-01	NaN	3.92E-02	EGF,ARHGEF3,ARHGEF6,F2RL2,RHOB,MRAS,ITPR1,GNG2	
VEGF Family Ligand-Receptor Interactions	5.54E-01	NaN	4.55E-02	FOS,KDR,VEGFA,MRAS	
Circadian Rhythm Signaling	5.58E-01	NaN	5.88E-02	BHLHE40,BHLHE41	
D-myo-inositol (1,4,5,6)-Tetrakisphosphate Biosynthesis	5.62E-01	NaN	4.17E-02	PTPRM,DUSP1,PPP1R1C,PTPN22,NUDT12,PXYLP1	
D-myo-inositol (3,4,5,6)-tetrakisphosphate Biosynthesis	5.62E-01	NaN	4.17E-02	PTPRM,DUSP1,PPP1R1C,PTPN22,NUDT12,PXYLP1	
GNRH Signaling	5.62E-01	NaN	4.17E-02	FOS,EGF,MRAS,ITPR1,EGR1,GNG2	
PEDF Signaling	5.65E-01	NaN	4.60E-02	MRAS,FAS,DOCK3,PPARG	
TGF-β Signaling	5.65E-01	NaN	4.60E-02	FOS,MRAS,BMP2,RUNX2	
Xenobiotic Metabolism Signaling	5.7E-01	NaN	3.79E-02	FMO5,GCLC,ANKRA2,IL1B,MRAS,IL1A,IL6,MGST1,UST,MAOB,SULT1C2	
Ketogenesis	5.76E-01	NaN	1.00E-01	HMGCLL1,	
Corticotropin Releasing Hormone Signaling	5.85E-01	NaN	4.42E-02	FOS,VEGFA,NR4A1,ITPR1,MEF2C	
Cytotoxic T Lymphocyte-mediated Apoptosis of Target Cells	5.95E-01	NaN	6.25E-02	B2M,FAS	
Glutamate Receptor Signaling	6.02E-01	NaN	5.26E-02	SLC1A1,SLC1A3,GNG2	
Regulation of Cellular Mechanics by Calpain Protease	6.02E-01	NaN	5.26E-02	EGF,CCNA1,MRAS	
Type I Diabetes Mellitus Signaling	6.04E-01	NaN	4.50E-02	IL1B,IL1R1,IL1RAP,CPE,FAS	
p53 Signaling	6.04E-01	NaN	4.50E-02	TP63,SNAI2,GADD45A,FAS,PMAIP1	
JAK/Stat Signaling	6.1E-01	NaN	4.82E-02	FOS,CEBPB,MRAS,IL6	
Leucine Degradation I	6.15E-01	NaN	1.11E-01	HMGCLL1,	
Pathogenesis of Multiple Sclerosis	6.15E-01	NaN	1.11E-01	CCR1,	
Sphingosine and Sphingosine-1-phosphate Metabolism	6.15E-01	NaN	1.11E-01	ASAH1,	
Role of Pattern Recognition Receptors in Recognition of Bacteria and Viruses	6.23E-01	NaN	4.38E-02	IL1B,IFIH1,IL1A,CASP1,IL6,CXCL8	
Macropinocytosis Signaling	6.34E-01	NaN	4.94E-02	EGF,MRAS,ITGB8,ITGB3	
TNFR2 Signaling	6.36E-01	NaN	6.67E-02	FOS,TANK	
GP6 Signaling Pathway	6.51E-01	NaN	4.48E-02	COL4A6,LAMA3,ITPR1,COL4A5,ITGB3,COL24A1	
Endothelin-1 Signaling	6.53E-01	NaN	4.21E-02	FOS,EDNRA,PNPLA3,MRAS,CASP1,ITPR1,PTGER2,PLA2R1	
UVA-Induced MAPK Signaling	6.56E-01	NaN	4.72E-02	FOS,RPS6KA2,MRAS,PARP8,RPS6KA6	
Histidine Degradation III	6.6E-01	NaN	1.25E-01	AMDHD1,	
Salvage Pathways of Pyrimidine Deoxyribonucleotides	6.6E-01	NaN	1.25E-01	APOBEC3G,	
Tryptophan Degradation to 2-amino-3-carboxymuconate Semialdehyde	6.6E-01	NaN	1.25E-01	KYNU,	
Estrogen-Dependent Breast Cancer Signaling	6.72E-01	NaN	5.13E-02	FOS,HSD17B2,MRAS,HSD17B7	
VDR/RXR Activation	6.72E-01	NaN	5.13E-02	HSD17B2,CEBPB,GADD45A,RUNX2	
IL-15 Production	6.8E-01	NaN	7.14E-02	IL15,IL6	
Superpathway of Cholesterol Biosynthesis	6.8E-01	NaN	7.14E-02	HSD17B7,MSMO1	
Toll-like Receptor Signaling	6.99E-01	NaN	5.26E-02	FOS,LY96,IL1B,IL1A	
Virus Entry via Endocytic Pathways	7.01E-01	NaN	4.90E-02	ITGA1,MRAS,ITGB8,ITGB3,B2M	
Ceramide Degradation	7.12E-01	NaN	1.43E-01	ASAH1,	
TREM1 Signaling	7.12E-01	NaN	5.33E-02	IL1B,CASP1,IL6,CXCL8	
Gustation Pathway	7.21E-01	NaN	4.72E-02	SMPDL3B,MPPE1,ITPR1,GNG2,PDE5A,PDE4B	
Role of JAK family kinases in IL-6-type Cytokine Signaling	7.56E-01	NaN	8.00E-02	IL6,OSMR	
Hematopoiesis from Pluripotent Stem Cells	7.67E-01	NaN	6.38E-02	IL1A,IL6,CXCL8	
Glycogen Biosynthesis II (from UDP-D-Glucose)	7.72E-01	NaN	1.67E-01	GBE1,	
Selenocysteine Biosynthesis II (Archaea and Eukaryotes)	7.72E-01	NaN	1.67E-01	SEPSECS,	
Glutathione Redox Reactions I	7.84E-01	NaN	8.33E-02	CLIC2,MGST1	
Tryptophan Degradation III (Eukaryotic)	7.84E-01	NaN	8.33E-02	L3HYPDH,KYNU	
Glioma Invasiveness Signaling	7.86E-01	NaN	5.71E-02	MMP9,RHOB,MRAS,ITGB3	
Triacylglycerol Biosynthesis	7.86E-01	NaN	6.52E-02	LPCAT4,LPIN1,PLPP3	
Protein Kinase A Signaling	7.91E-01	NaN	4.00E-02	EYA1,PTPRM,MPPE1,PTPN22,KDELR3,PDE5A,PDE4B,ADD3,SMPDL3B,DUSP1,PTPRE,ITPR1,DUSP6,GNG2,AKAP6,PTPRR	
Agrin Interactions at Neuromuscular Junction	8.02E-01	NaN	5.80E-02	ITGA1,ARHGEF6,MRAS,ITGB3	
CCR5 Signaling in Macrophages	8.02E-01	NaN	5.80E-02	FOS,MRAS,GNG2,FAS	
Differential Regulation of Cytokine Production in Intestinal Epithelial Cells by IL-17A and IL-17F	8.13E-01	NaN	8.70E-02	IL1B,IL1A	
HIF1α Signaling	8.23E-01	NaN	5.08E-02	MMP3,MMP9,SLC2A3,VEGFA,MRAS,MMP1	
Ovarian Cancer Signaling	8.25E-01	NaN	4.86E-02	EGF,EDNRA,MMP9,VEGFA,MRAS,WNT9A,GJA1	
Axonal Guidance Signaling	8.28E-01	NaN	3.98E-02	ADAM22,BMP5,MMP9,VEGFA,MRAS,NTN4,BMP2,EGF,SEMA3G,TUBA1A,MMP3,ARHGEF6,MYSM1,ADAM12,GNG2,ADAM28,WNT9A,EFNB3	
ILK Signaling	8.32E-01	NaN	4.57E-02	FOS,ARHGEF6,MMP9,SNAI2,VEGFA,RHOB,ITGB8,ITGB3,BMP2	
2-oxobutanoate Degradation I	8.45E-01	NaN	2.00E-01	MCEE,	
Protein Citrullination	8.45E-01	NaN	2.00E-01	PADI1,	
Aryl Hydrocarbon Receptor Signaling	8.58E-01	NaN	4.96E-02	FOS,CCNA1,IL1B,IL1A,IL6,FAS,MGST1	
Paxillin Signaling	8.86E-01	NaN	5.31E-02	ITGA1,ARHGEF6,ITGA10,MRAS,ITGB8,ITGB3	
HER-2 Signaling in Breast Cancer	8.87E-01	NaN	5.68E-02	AREG,EGF,MRAS,ITGB8,ITGB3	
Neuregulin Signaling	8.87E-01	NaN	5.68E-02	AREG,EGF,BTC,MRAS,EREG	
CNTF Signaling	9.05E-01	NaN	6.35E-02	RPS6KA2,MRAS,LIFR,RPS6KA6	
The Visual Cycle	9.12E-01	NaN	1.00E-01	RDH12,RBP5	
Thyroid Cancer Signaling	9.17E-01	NaN	7.50E-02	MRAS,PPARG,CXCL8	
Gαq Signaling	9.27E-01	NaN	4.97E-02	CALCR,RHOB,MRAS,ARHGEF25,RGS2,ITPR1,GNG2,RGS4	
IL-17 Signaling	9.33E-01	NaN	5.88E-02	MMP3,CEBPB,MRAS,IL6,CXCL8	
Acetate Conversion to Acetyl-CoA	9.35E-01	NaN	2.50E-01	ACSS3,	
Melatonin Degradation II	9.35E-01	NaN	2.50E-01	MAOB,	
Methylmalonyl Pathway	9.35E-01	NaN	2.50E-01	MCEE,	
Retinoate Biosynthesis II	9.35E-01	NaN	2.50E-01	RBP5,	
Hepatic Cholestasis	9.38E-01	NaN	5.00E-02	FABP6,LY96,IL1B,IL1R1,IL1A,IL1RAP,IL6,CXCL8	
Estrogen Biosynthesis	9.42E-01	NaN	7.69E-02	HSD17B2,CYP2J2,HSD17B7	
Differential Regulation of Cytokine Production in Macrophages and T Helper Cells by IL-17A and IL-17F	9.9E-01	NaN	1.11E-01	IL1B,IL6	
Methylglyoxal Degradation III	9.9E-01	NaN	1.11E-01	AKR1B10,AKR1C1/AKR1C2	
Neuroinflammation Signaling Pathway	1.03E00	NaN	4.50E-02	IL1B,MMP9,GABRR2,GABBR1,CASP1,B2M,IL6,VCAM1,CXCL8,FOS,MMP3,IL1R1,SLC1A3,FAS	
FXR/RXR Activation	1.05E00	NaN	5.56E-02	FABP6,IL1B,VLDLR,IL1A,APOE,PPARG,PON3	
Coagulation System	1.05E00	NaN	8.57E-02	PROS1,F3,F13A1	
Glutathione Biosynthesis	1.05E00	NaN	3.33E-01	GCLC,	
Inhibition of Angiogenesis by TSP1	1.08E00	NaN	8.82E-02	MMP9,KDR,VEGFA	
BMP signaling pathway	1.09E00	NaN	6.58E-02	BMP5,MRAS,FST,BMP2,RUNX2	
IL-15 Signaling	1.09E00	NaN	6.58E-02	IL15,MRAS,IL6,VCAM1,CXCL8	
ErbB Signaling	1.11E00	NaN	6.12E-02	FOS,AREG,EGF,BTC,MRAS,EREG	
G Protein Signaling Mediated by Tubby	1.14E00	NaN	9.38E-02	MRAS,TUB,GNG2	
γ-glutamyl Cycle	1.18E00	NaN	1.43E-01	GGT7,GCLC	
IL-1 Signaling	1.21E00	NaN	6.52E-02	FOS,IL1R1,MRAS,IL1A,IL1RAP,GNG2	
Reelin Signaling in Neurons	1.21E00	NaN	6.52E-02	ARHGEF3,ITGA1,ARHGEF6,VLDLR,ITGB3,APOE	
Cysteine Biosynthesis/Homocysteine Degradation	1.22E00	NaN	5.00E-01	CTH,	
Bile Acid Biosynthesis, Neutral Pathway	1.24E00	NaN	1.54E-01	AKR1C1/AKR1C2,SCP2	
Cholesterol Biosynthesis I	1.24E00	NaN	1.54E-01	HSD17B7,MSMO1	
Cholesterol Biosynthesis II (via 24,25-dihydrolanosterol)	1.24E00	NaN	1.54E-01	HSD17B7,MSMO1	
Cholesterol Biosynthesis III (via Desmosterol)	1.24E00	NaN	1.54E-01	HSD17B7,MSMO1	
Oleate Biosynthesis II (Animals)	1.24E00	NaN	1.54E-01	CYB5A,SCD	
Role of IL-17A in Psoriasis	1.24E00	NaN	1.54E-01	CCL20,CXCL8	
Graft-versus-Host Disease Signaling	1.24E00	NaN	8.33E-02	IL1B,IL1A,IL6,FAS	
Altered T Cell and B Cell Signaling in Rheumatoid Arthritis	1.25E00	NaN	6.67E-02	IL15,TNFSF13B,IL1B,IL1A,IL6,FAS	
Eicosanoid Signaling	1.28E00	NaN	7.46E-02	PNPLA3,ALOX5AP,LTB4R2,PTGER2,PLA2R1	
Relaxin Signaling	1.29E00	NaN	5.73E-02	FOS,SMPDL3B,MMP9,MPPE1,VEGFA,MRAS,GNG2,PDE5A,PDE4B	
Gαs Signaling	1.3E00	NaN	6.36E-02	RAPGEF4,MRAS,RGS2,VIPR1,GNG2,PTGER2,ADD3	
NF-κB Signaling	1.3E00	NaN	5.52E-02	TANK,EGF,TNFSF13B,IL1B,IL1R1,KDR,MRAS,IL1A,BMP2,PELI1	
Colorectal Cancer Metastasis Signaling	1.39E00	NaN	5.24E-02	MMP9,VEGFA,MRAS,IL6,PTGER2,FOS,EGF,MMP3,RHOB,LRP1,GNG2,MMP1,WNT9A	
IL-17A Signaling in Gastric Cells	1.41E00	NaN	1.20E-01	FOS,CCL20,CXCL8	
Retinol Biosynthesis	1.42E00	NaN	9.52E-02	RDH12,PNPLA3,RBP5,LIPG	
Phagosome Maturation	1.43E00	NaN	6.08E-02	ATP6V0D2,TUBA1A,CTSV,SNAP25,CTSL,CTSO,VPS41,B2M,DYNC2H1	
Calcium Transport I	1.45E00	NaN	2.00E-01	ATP2B2,ATP2B4	
tRNA Splicing	1.45E00	NaN	9.76E-02	SMPDL3B,MPPE1,PDE5A,PDE4B	
Cholecystokinin/Gastrin-mediated Signaling	1.46E00	NaN	6.93E-02	FOS,IL1B,RHOB,MRAS,IL1A,ITPR1,MEF2C	
L-cysteine Degradation II	1.52E00	NaN	1.00E00	CTH,	
Cardiac β-adrenergic Signaling	1.56E00	NaN	6.43E-02	SMPDL3B,MPPE1,MRAS,PKIA,GNG2,PDE5A,PDE4B,AKAP6,PKIB	
PPAR Signaling	1.59E00	NaN	7.37E-02	FOS,IL1B,IL1R1,MRAS,IL1A,IL1RAP,PPARG	
Unfolded protein response	1.59E00	NaN	9.09E-02	INSIG1,CEBPB,PPARG,ERO1B,DNAJB9	
Communication between Innate and Adaptive Immune Cells	1.61E00	NaN	7.45E-02	IL15,TNFSF13B,IL1B,IL1A,B2M,IL6,CXCL8	
Cardiomyocyte Differentiation via BMP Receptors	1.66E00	NaN	1.50E-01	BMP5,BMP2,MEF2C	
IL-17A Signaling in Fibroblasts	1.68E00	NaN	1.14E-01	FOS,CEBPB,IL6,MMP1	
Caveolar-mediated Endocytosis Signaling	1.68E00	NaN	8.45E-02	EGF,ITGA1,ITGA10,ITGB8,ITGB3,B2M	
HMGB1 Signaling	1.69E00	NaN	6.77E-02	FOS,IL1B,IL1R1,RHOB,MRAS,IL1A,IL6,VCAM1,CXCL8	
Retinoate Biosynthesis I	1.72E00	NaN	1.18E-01	RDH12,AKR1B10,BMP2,RBP5	
LPS/IL-1 Mediated Inhibition of RXR Function	1.73E00	NaN	5.86E-02	FABP6,IL1B,CPT1B,MGST1,UST,SULT1C2,FMO5,LY96,IL1R1,IL1A,IL1RAP,APOE,MAOB	
Bladder Cancer Signaling	1.75E00	NaN	7.95E-02	EGF,MMP3,MMP9,VEGFA,MRAS,MMP1,CXCL8	
IL-8 Signaling	1.75E00	NaN	6.09E-02	FOS,EGF,MMP9,KDR,VEGFA,RHOB,MRAS,ITGB3,ANGPT1,GNG2,VCAM1,CXCL8	
NAD Biosynthesis from 2-amino-3-carboxymuconate Semialdehyde	1.76E00	NaN	2.86E-01	NMNAT2,NMNAT3	
ERK5 Signaling	1.82E00	NaN	9.09E-02	FOS,EGF,RPS6KA2,MRAS,MEF2C,RPS6KA6	
Agranulocyte Adhesion and Diapedesis	1.85E00	NaN	6.28E-02	MMP3,ITGA1,CCL28,IL1B,IL1R1,MMP9,IL1A,CCL20,CXCL2,MMP1,VCAM1,CXCL8	
Pyrimidine Ribonucleotides De Novo Biosynthesis	1.86E00	NaN	1.06E-01	AK9,AK7,ENTPD4,AK5,ENTPD3	
NAD Biosynthesis III	1.89E00	NaN	3.33E-01	NMNAT2,NMNAT3	
Zymosterol Biosynthesis	1.89E00	NaN	3.33E-01	HSD17B7,MSMO1	
Extrinsic Prothrombin Activation Pathway	1.93E00	NaN	1.88E-01	PROS1,F3,F13A1	
Pyrimidine Ribonucleotides Interconversion	1.94E00	NaN	1.11E-01	AK9,AK7,ENTPD4,AK5,ENTPD3	
Role of IL-17F in Allergic Inflammatory Airway Diseases	1.94E00	NaN	1.11E-01	IL1B,RPS6KA2,IL6,RPS6KA6,CXCL8	
autophagy	1.95E00	NaN	9.68E-02	CTSV,WIPI1,RB1CC1,CTSL,CTSO,VPS41	
p38 MAPK Signaling	1.96E00	NaN	7.50E-02	IL1B,IL1R1,DUSP1,RPS6KA2,IL1A,IL1RAP,FAS,MEF2C,RPS6KA6	
NAD biosynthesis II (from tryptophan)	2.01E00	NaN	2.00E-01	NMNAT2,NMNAT3,KYNU	
Role of Macrophages, Fibroblasts and Endothelial Cells in Rheumatoid Arthritis	2.13E00	NaN	5.77E-02	IL15,TNFSF13B,IL1B,VEGFA,MRAS,IL6,VCAM1,CXCL8,FOS,MMP3,IL1R1,CEBPB,IL1A,IL1RAP,LRP1,SOST,MMP1,WNT9A	
Inhibition of Matrix Metalloproteases	2.2E00	NaN	1.28E-01	MMP3,MMP9,LRP1,ADAM12,MMP1	
Acute Phase Response Signaling	2.23E00	NaN	7.06E-02	FOS,IL1B,IL1R1,CEBPB,MRAS,IL1A,IL1RAP,IL6,C1S,C1R,RBP5,OSMR	
Role of Cytokines in Mediating Communication between Immune Cells	2.24E00	NaN	1.11E-01	IL15,IL1B,IL24,IL1A,IL6,CXCL8	
IL-6 Signaling	2.24E00	NaN	7.81E-02	FOS,IL1B,IL1R1,VEGFA,CEBPB,MRAS,IL1A,IL1RAP,IL6,CXCL8	
Complement System	2.3E00	NaN	1.35E-01	CFI,CD46,C1S,C1R,CFH	
IL-10 Signaling	2.31E00	NaN	1.01E-01	FOS,IL1B,IL1R1,CCR1,IL1A,IL1RAP,IL6	
G-Protein Coupled Receptor Signaling	2.32E00	NaN	6.16E-02	RAPGEF4,MPPE1,GABBR1,MRAS,VIPR1,PDE5A,PDE4B,SYNGAP1,PTGER2,SMPDL3B,DUSP1,CALCR,LAMTOR3,RGS2,DUSP6,RGS4,S1PR1	
Pyrimidine Deoxyribonucleotides De Novo Biosynthesis I	2.33E00	NaN	1.74E-01	AK9,AK7,APOBEC3G,AK5	
Role of Tissue Factor in Cancer	2.36E00	NaN	8.13E-02	IL1B,VEGFA,RPS6KA2,MRAS,F3,ITGB3,EGR1,MMP1,RPS6KA6,CXCL8	
LXR/RXR Activation	2.41E00	NaN	8.26E-02	LY96,IL1B,IL1R1,MMP9,SCD,IL1A,IL1RAP,APOE,IL6,PON3	
Oncostatin M Signaling	2.47E00	NaN	1.47E-01	MMP3,MRAS,EPAS1,MMP1,OSMR	
Inflammasome pathway	2.56E00	NaN	2.00E-01	AIM2,IL1B,CASP1,NLRP1	
Role of Hypercytokinemia/hyperchemokinemia in the Pathogenesis of Influenza	2.74E00	NaN	1.40E-01	IL15,IL1B,CCR1,IL1A,IL6,CXCL8	
Airway Pathology in Chronic Obstructive Pulmonary Disease	2.86E00	NaN	3.75E-01	MMP9,MMP1,CXCL8	
Granulocyte Adhesion and Diapedesis	2.93E00	NaN	7.82E-02	CCL28,IL1B,MMP9,CCL20,CXCL2,VCAM1,CXCL8,MMP3,ITGA1,IL1R1,IL1A,IL1RAP,ITGB3,MMP1	
NAD Salvage Pathway II	3.01E00	NaN	1.92E-01	NMRK1,NMNAT2,NUDT12,NMNAT3,PXYLP1	
NAD Salvage Pathway III	3.05E00	NaN	4.29E-01	NMRK1,NMNAT2,NMNAT3	
Role of Osteoblasts, Osteoclasts and Chondrocytes in Rheumatoid Arthritis	3.09E00	NaN	7.30E-02	BMP5,IL1B,IL6,BMP2,FOS,MMP3,IL1R1,GSN,CALCR,IL1A,IL1RAP,LRP1,ITGB3,SOST,MMP1,RUNX2,WNT9A	
cAMP-mediated signaling	3.22E00	NaN	7.49E-02	RAPGEF4,MPPE1,GABBR1,VIPR1,PKIA,PDE5A,PDE4B,PTGER2,SMPDL3B,DUSP1,LAMTOR3,RGS2,DUSP6,RGS4,AKAP6,PKIB,S1PR1	
Atherosclerosis Signaling	3.3E00	NaN	9.45E-02	MMP3,PNPLA3,IL1B,MMP9,IL1A,F3,APOE,IL6,MMP1,VCAM1,CXCL8,PLA2R1	
Osteoarthritis Pathway	4.07E00	NaN	8.53E-02	IL1B,MMP9,VEGFA,CASP1,BMP2,PPARG,MEF2C,NKX3-2,CXCL8,MMP3,IL1R1,MATN3,CEBPB,IL1RAP,LRP1,EPAS1,MMP1,RUNX2	
Hepatic Fibrosis / Hepatic Stellate Cell Activation	5.34E00	NaN	1.02E-01	EDNRA,IL1B,MMP9,KDR,VEGFA,COL4A5,IL6,LEPR,VCAM1,CXCL8,COL4A6,EGF,LY96,IL1R1,IL1A,IL1RAP,COL24A1,FAS,MMP1	

Upstream Regulators for My Projects->Miyoung->11-15-2017_q0.05_EZH2 canonical_737 - 2017-11-22 10:55 AM
Analysis	ID	Upstream Regulator	Molecule Type	Predicted Activation State	Activation z-score	Notes	Bias Term	Bias-corrected z-score	p-value of overlap	Target molecules in dataset	Mechanistic Network	
11-15-2017_q0.05_EZH2 canonical_737 - 2017-11-22 10:55 AM	 	Cg	complex	 	 	 	 	 	1.47E-17	AKR1B10,AREG,B2M,BHLHE40,BMP2,BTC,CEBPB,CTSV,CXCL8,DUSP1,DUSP6,EGR1,EMP1,ENPP2,EPAS1,EREG,FAM198B,FAS,FHL1,FST,G0S2,GJA1,HSD11B1,HSD17B7,HSD3B1,IL1B,IL6,ITGA1,ITGB3,LEPR,MMP1,MMP9,NR3C2,NR4A1,PKIA,PLPP3,PMAIP1,PPARG,PTGER2,RGS2,RGS4,RORA,RUNX2,SNAP25,ST8SIA4,STC1,TSPAN13,VEGFA	Ap1,CTNNB1,Cg,Creb,ERK1/2,ESR1,ESR2,FOSL1,JUN,NFKB1,NFKBIA,NFkB (complex),NR3C1,P38 MAPK,PGR,RELA,STAT3,beta-estradiol,progesterone,prostaglandin E2	
11-15-2017_q0.05_EZH2 canonical_737 - 2017-11-22 10:55 AM	 	PDGF BB	complex	 	 	 	 	 	1.50E-16	ACKR3,ADD3,AREG,BHLHE40,CCL20,CEBPB,CTH,CXCL2,CXCL8,DUSP1,DUSP6,EGR1,ENPP1,EREG,F3,FHL1,FOS,GADD45A,GDF15,GEM,GJA1,IL1B,IL6,MAP2,MGST1,mir-221,MMP1,MMP3,MMP9,NR4A1,NR4A2,PPARG,PRSS35,RGS2,RHOB,SCD,SLC1A1,SLC2A3,SLC6A6,TRIB1,VCAM1,VEGFA,XDH,ZFP36L1	ATF2,Ap1,EGFR,EGR1,ESR1,FGF2,FOXO1,HIF1A,JUN,Jnk,NFKB1,NFKBIA,NFkB (complex),P38 MAPK,PDGF BB,RELA,SMAD3,STAT3,TGFB1	
11-15-2017_q0.05_EZH2 canonical_737 - 2017-11-22 10:55 AM	 	SMARCA4	transcription regulator	 	 	 	 	 	9.36E-15	AIM2,ANXA10,APOBEC3G,AREG,ARRDC4,ATP2B4,CARD16,CASP1,CCR1,CEBPB,CLDND1,CLIC2,CNTN1,CPM,DUSP6,DYNLT3,EDNRA,EGR1,ENTPD3,EREG,F3,FABP6,FAS,FOS,GADD45A,GCLC,GIMAP2,GMFG,IFI16,IL1B,IL6,ITPR1,KDR,KLF8,LAMA3,LUM,MAOB,MEF2C,MMP1,MYRF,PCSK9,PDE4B,PKIA,PLPP3,PON3,PPARG,PSG4,PSG5,PSG9,RGS2,SCG5,SELENOP,SERPINB7,SKAP2,SLC40A1,SRPX,TMEM154,TSPAN13,WNT9A	ATP,Ap1,EGR1,ESR1,HDAC1,JUN,NFKB1,NFKBIA,NFkB (complex),RELA,SMAD3,SMARCA4,SP1,SP3,STAT1,STAT3,TP53,TP63,TP73	
11-15-2017_q0.05_EZH2 canonical_737 - 2017-11-22 10:55 AM	 	beta-estradiol	chemical - endogenous mammalian	 	 	 	 	 	2.37E-14	ACKR3,ACSM3,ANGPT1,ANXA4,APOE,AREG,ATP2B2,BEX2,BHLHE40,BMP2,BMP5,C9orf84,CA12,CALCR,CCL20,CCNA1,CCNG2,CCR1,CEBPB,COCH,COL4A5,CPM,CPT1B,CRYZ,CTSL,CUBN,CXCL2,CXCL8,CYB5A,DUSP1,DUSP6,EGF,EGR1,EMP1,ENPP2,EPAS1,EREG,F3,FAS,FHL1,FMO5,FOS,FST,GADD45A,GCLC,GEM,GJA1,GREB1,HBP1,HSD11B1,HSD17B2,HSD17B7,IL15,IL1A,IL1B,IL1R1,IL24,IL6,ITGA1,ITGB3,KDELR3,KDR,KLF9,KYNU,LEPR,LEPROT,LOC102724428/SIK1,LPIN1,LTBP1,LUM,MGST1,mir-548,MMP1,MMP9,MSMO1,NR3C2,NR4A1,NUPR1,PADI1,PAM,PDE4B,PDK4,PKIB,PLA2R1,PLAC1,PMAIP1,PPARG,PROS1,PRSS35,PTGER2,RGS2,RORC,RUNX2,S1PR1,SATB1,SCG5,SLC2A3,SLCO2B1,SNAI2,SNAP25,SOST,SPRY1,SSBP2,STC1,SULT1C2,TANK,THRB,TNFSF13B,TP63,TPD52L1,TRIB1,TSC22D1,TXNIP,VCAM1,VEGFA,VIPR1	CEBPB,CREB1,Creb,EGR1,ESR1,ESR2,HIF1A,JUN,NFKB1,NFKBIA,NFkB (complex),NR3C1,PGR,RELA,SMAD3,SP1,STAT3,TGFB1,TP53,beta-estradiol,calcitriol,progesterone,prostaglandin E2	
11-15-2017_q0.05_EZH2 canonical_737 - 2017-11-22 10:55 AM	 	Vegf	group	 	 	 	 	 	3.13E-14	ACKR3,ADGRL2,ALOX5AP,AXIN2,BMP2,CASP1,CD46,CXCL8,DNAJB9,DUSP6,EDA,EGR1,EMP1,ENPP2,F3,FAM198B,FAS,FST,GEM,IL1A,IL1R1,IL6,INSIG1,ITGA10,ITGB8,ITPR1,KDR,L3MBTL3,LY75,MALL,MAOB,MEF2C,MMP9,NEK3,NR4A1,NR4A2,OSMR,PADI1,PAN2,PLOD2,PLPP3,PMAIP1,PTPRR,RGS2,SLCO2B1,ST8SIA4,STC1,TBC1D8,TRIB1,VCAM1,VEGFA,XDH	AMPK,Ap1,CTNNB1,EGR1,FOXO1,FOXO3,HIF1A,JUN,MAPK14,NFKB1,NFKBIA,NFkB (complex),P38 MAPK,RELA,SP1,TP53,VEGFA,Vegf	
